query_id,search_date,pmid,pmcid,doi,title,authorString,journalTitle,pubYear,firstPublicationDate,isOpenAccess,source
Q1_protocol_broad,2026-09-05,42192691,PMC13203839,10.3390/antibiotics15050469,Next-Generation Target Discovery in ESKAPE Pathogens: An AI-Driven Framework from Omics-Based to Systems-Level Modeling and Clinical Translation.,"Chines E, Tempesta AA, Boscarelli L, Parisi MF, Marcoccia L, Capillo A, Mezzatesta ML, Ledda C, Chessari M, Cafiso V.",,2026,2026-05-06,Y,MED
Q1_protocol_broad,2026-09-05,41231537,PMC12614359,10.1099/mic.0.001629,Microbial Primer: Artificial intelligence for microbiologists.,"Cao H, de la Fuente-Nunez C.",,2025,2025-11-01,Y,MED
Q1_protocol_broad,2026-09-05,42108632,PMC13158128,10.1093/bib/bbag219,"Computational paradigms for antimicrobial resistance prediction: integrating multi-omics, structural modeling, and foundation artificial intelligence systems.","Hossain E, Yousefi N.",,2026,2026-05-01,Y,MED
Q1_protocol_broad,2026-09-05,42261281,PMC13242821,10.2147/idr.s614240,Artificial Intelligence for Antimicrobial Resistance Detection and Prediction in &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt;: A Systematic Review of Clinical Microbiology Applications.,"Aggarwal RV, Shah N, Wong JJE, Dajani Z.",,2026,2026-06-03,Y,MED
Q1_protocol_broad,2026-09-05,42353723,PMC13295586,10.3390/antibiotics15060599,"Can Artificial Intelligence Transform Early Warning for Antimicrobial-Resistant Outbreak Clones? Approaches, Gaps, and Opportunities: A Scoping Review.","Tempesta AA, Chines E, Boscarelli L, Parisi MF, Marcoccia L, Capillo A, Mezzatesta ML, Ledda C, Chessari M, Cafiso V.",,2026,2026-06-12,Y,MED
Q1_protocol_broad,2026-09-05,42095666,PMC13228011,10.1128/spectrum.02592-25,KEGG orthology-based machine learning reveals functional determinants of antimicrobial resistance in &lt;i&gt;Acinetobacter baumannii&lt;/i&gt;.,"Zheng Z, Jiang B, Shenkutie AM, Bian J, Yan Y, Pi R, Xiong Q, Leung PH-M.",,2026,2026-05-07,Y,MED
Q1_protocol_broad,2026-09-05,42221978,PMC13219803,10.1177/11779322261453756,A Novel Bioinformatics Pipeline and a Machine-Learning Approach for Antimicrobial Resistance Phenotypic Prediction.,"Visser O, Agboli V, Datta S.",,2026,2026-05-26,Y,MED
Q1_protocol_broad,2026-09-05,42196654,PMC13207280,10.3390/ijerph23050561,Integrating Phenotypic and Genomic Data with Machine Learning to Predict Antimicrobial Resistance and Identify Genetic Biomarkers in &lt;i&gt;E. coli&lt;/i&gt;.,"Adeyemi SH, Paudel R.",,2026,2026-04-27,Y,MED
Q1_protocol_broad,2026-09-05,42122064,PMC13164157,10.3390/diagnostics16091360,"Meat-Borne Bacterial Pathogen Detection: Conventional, Molecular and Emerging AI-Based Strategies.","Hussain A, Abbas Q, Nadeem M, Nazar A, Athar A, Rahman HUU.",,2026,2026-04-30,Y,MED
Q1_protocol_broad,2026-09-05,42149609,PMC13274384,10.1128/aem.02525-25,"Global whole-genome, phylodynamic, and machine-learning analysis of &lt;i&gt;Glaesserella parasuis&lt;/i&gt; serovars 2, 5, and 12.","Xu Z, Peng J, Wu Y, Du H, Chen J, Hong Q, Wu P, Xu C, Peng Z, Zhang J.",,2026,2026-05-18,Y,MED
