Accession_eval,Accession_dev_md5_match,Organism_Name,seq_len
HQ407377,HQ407377,Cowpox virus,221512
HQ420893,HQ420893,Cowpox virus,222105
HQ420894,HQ420894,Cowpox virus,226424
HQ420895,HQ420895,Cowpox virus,225136
HQ420896,HQ420896,Cowpox virus,220280
HQ420897,HQ420897,Cowpox virus,224595
HQ420898,HQ420898,Cowpox virus,222555
HQ420899,HQ420899,Cowpox virus,220915
HQ420900,HQ420900,Cowpox virus,221530
KY369926,KY369926,Cowpox virus,223595
KY463519,KY463519,Cowpox virus,214707
KY549143,KY549143,Cowpox virus,216706
KY549144,KY549144,Cowpox virus,224952
KY549145,KY549145,Cowpox virus,225263
KY549146,KY549146,Cowpox virus,196570
KY549147,KY549147,Cowpox virus,196768
KY549148,KY549148,Cowpox virus,224936
KY549149,KY549149,Cowpox virus,225395
KY549150,KY549150,Cowpox virus,224120
KY549151,KY549151,Cowpox virus,217925
KY569018,KY569018,Cowpox virus,204218
KY569019,KY569019,Cowpox virus,212910
KY569020,KY569020,Cowpox virus,203925
KY569021,KY569021,Cowpox virus,204321
KY569022,KY569022,Cowpox virus,204015
LN864565,LN864565,Cowpox virus,228162
LN864566,LN864566,Cowpox virus,227639
LN879483,LN879483,Cowpox virus,222069
LR812035,LR812035,Cowpox virus,220822
LT896718,LT896718,Cowpox virus,223357
LT896719,LT896719,Cowpox virus,221816
LT896720,LT896720,Cowpox virus,219863
LT896721,LT896721,Cowpox virus,220958
LT896722,LT896722,Cowpox virus,228276
LT896723,LT896723,Cowpox virus,223583
LT896724,LT896724,Cowpox virus,220621
LT896725,LT896725,Cowpox virus,224837
LT896726,LT896726,Cowpox virus,222058
LT896727,LT896727,Cowpox virus,223681
LT896728,LT896728,Cowpox virus,223088
LT896729,LT896729,Cowpox virus,222113
LT896730,LT896730,Cowpox virus,222104
LT896731,LT896731,Cowpox virus,222189
LT896732,LT896732,Cowpox virus,223759
LT896733,LT896733,Cowpox virus,222376
LT993226,LT993226,Cowpox virus,220997
LT993228,LT993228,Cowpox virus,222062
LT993230,LT993230,Cowpox virus,221930
LT993231,LT993231,Cowpox virus,223701
LT993232,LT993232,Cowpox virus,217481
MK035746,MK035746,Cowpox virus,214860
MK035747,MK035747,Cowpox virus,228369
MK035748,MK035748,Cowpox virus,228367
MK035749,MK035749,Cowpox virus,213972
MK035750,MK035750,Cowpox virus,218251
MK035751,MK035751,Cowpox virus,224665
MK035752,MK035752,Cowpox virus,213486
MK035753,MK035753,Cowpox virus,228534
MK035754,MK035754,Cowpox virus,223205
MK035755,MK035755,Cowpox virus,223850
MK035756,MK035756,Cowpox virus,223150
MK035757,MK035757,Cowpox virus,229131
MK035758,MK035758,Cowpox virus,223508
MK035759,MK035759,Cowpox virus,228530
OM460002,OM460002,Cowpox virus,220276
OP125537,OP125537,Cowpox virus,220808
OP125538,OP125538,Cowpox virus,220981
OP125539,OP125539,Cowpox virus,221926
OP125540,OP125540,Cowpox virus,222178
OP125541,OP125541,Cowpox virus,221334
OQ579036,OQ579036,Human mastadenovirus G,34141
EF202833,EF202833,Ljungan virus,7635
KC285152,KC285152,Mamastrovirus 1,6773
KP862744,KP862744,Mamastrovirus 1,6776
KY765684,KY765684,Mamastrovirus 5,6579
HM133903,HM133903,Orf virus,134027
KF234407,KF234407,Orf virus,137080
KP010353,KP010353,Orf virus,138231
KP010354,KP010354,Orf virus,139866
KP010355,KP010355,Orf virus,132111
KP010356,KP010356,Orf virus,139112
KY053526,KY053526,Orf virus,136643
LR594616,LR594616,Orf virus,132823
MG674916,MG674916,Orf virus,139287
MG712417,MG712417,Orf virus,140413
MN454854,MN454854,Orf virus,134871
MN648218,MN648218,Orf virus,138446
MN648219,MN648219,Orf virus,138491
MT332357,MT332357,Orf virus,139807
MW537048,MW537048,Orf virus,132124
ON380499,ON380499,Orf virus,140179
ON380500,ON380500,Orf virus,139966
ON805830,ON805830,Orf virus,137160
ON805831,ON805831,Orf virus,137340
ON805832,ON805832,Orf virus,137214
ON805833,ON805833,Orf virus,137891
OR427036,OR427036,Orf virus,133993
OR453678,OR427036,Orf virus,133993
OR637323,OR637323,Orf virus,129588
OR637324,OR637324,Orf virus,121730
OR637325,OR637325,Orf virus,124146
MF370205,MF370205,Rhinolophus bat coronavirus HKU2,27155
OR220808,OR220808,Rhinovirus C,7069
PP991503,PP991503,Rhinovirus C,7105
PP991504,PP991504,Rhinovirus C,7106
PP849419,PP849419,Rotavirus A,1867
PP849434,PP849434,Rotavirus A,2393
PP849453,PP849453,Rotavirus A,740
PP874419,PP874408,Rotavirus A,1356
PP874451,PP874451,Rotavirus A,2359
PP874458,PP874458,Rotavirus A,1058
